px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
163.635	28.7709	2.48988	0.587753	0.0783677	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.46099	N/A
163.692	28.7813	2.97765	0.568711	0.0585766	164.116	29.315	164.155	28.8064	2.64354	1.28825	N/A	4.64841
166.798	30.2171	3.60115	0.368852	-0.11559	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.65662	N/A
166.761	30.2042	2.93651	0.382045	-0.100679	166.748	29.7121	166.809	30.0721	2.63006	1.22694	N/A	2.94304
169.113	31.3621	2.49243	0.428096	-0.00258277	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.3656	N/A
169.135	31.3647	2.82805	0.422887	-0.0102762	169.345	30.7063	169.452	31.2706	2.61238	1.15075	N/A	0.857421
172.156	32.3492	3.34083	0.257298	-0.114553	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.65758	N/A
172.138	32.3432	2.88365	0.259862	-0.111723	172.135	32.6666	172.079	32.3873	2.58945	1.06126	N/A	1.36335
174.654	33.4409	2.6399	0.407898	0.0591303	174.643	33.4625	174.685	33.4095	2.56021	0.960341	2.32664	N/A
174.651	33.4401	2.68591	0.407328	0.0580491	174.474	33.9157	174.685	33.4095	2.56021	0.960341	N/A	0.121887
177.029	34.216	2.4458	0.315387	-0.0402343	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.859531	N/A
177.039	34.2181	2.52758	0.313705	-0.0415284	177.211	33.8467	177.261	34.3262	2.52363	0.850119	N/A	0.173122
180.12	35.1362	3.52535	0.267271	-0.0448728	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.96783	N/A
180.05	35.1224	2.60739	0.274959	-0.0346037	179.543	35.4767	179.799	35.1289	2.47883	0.732949	N/A	7.44573
182.597	35.7545	2.66591	0.220418	-0.0474588	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0227445	N/A
182.563	35.7477	2.46953	0.221654	-0.0464012	182.047	36.2626	182.292	35.8114	2.42515	0.611338	N/A	2.22011
184.741	36.5011	2.24171	0.336627	0.0577689	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.957721	N/A
184.742	36.5011	2.23151	0.336633	0.0578582	184.833	36.1451	184.73	36.37	2.36226	0.487877	N/A	0.0185204
186.938	36.96	2.24534	0.190518	-0.0721237	186.946	36.9404	187.103	36.804	2.29017	0.365145	1.27097	N/A
186.965	36.9665	2.40159	0.188129	-0.0733771	187.296	36.9375	187.103	36.804	2.29017	0.365145	N/A	1.35175
189.46	37.4015	2.62068	0.144235	-0.0545901	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.168191	N/A
189.456	37.4	2.27398	0.142202	-0.0558592	189.738	36.951	189.401	37.1147	2.20928	0.245623	N/A	1.21447
191.734	37.5681	2.31549	0.0350611	-0.0883681	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0824234	N/A
191.719	37.5644	2.15706	0.0325002	-0.0909434	191.682	37.1147	191.615	37.3064	2.12037	0.131591	N/A	0.347023
193.485	37.2947	1.63855	-0.203676	-0.18318	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	1.47992	N/A
193.51	37.3013	2.06675	-0.191592	-0.170768	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	N/A	1.23546
195.963	37.356	2.52199	0.0845921	0.109606	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	6.73868	N/A
195.909	37.3558	1.87618	0.0677889	0.0986789	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	N/A	4.20781
197.726	37.7178	1.86419	0.264362	0.158765	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.272283	N/A
197.714	37.7151	1.88007	0.263276	0.158144	197.582	37.303	197.683	37.2395	1.81869	-0.159495	N/A	0.517592
199.29	37.3457	1.17576	-0.142453	-0.178733	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	9.69806	N/A
199.312	37.3571	1.61808	-0.138357	-0.170867	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	N/A	1.26751
201.522	36.9866	2.52121	-0.202948	-0.10221	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.8625	N/A
201.457	36.9715	1.78037	-0.254376	-0.14431	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	N/A	5.797
202.968	36.4561	1.55806	-0.395784	-0.143757	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.145603	N/A
202.956	36.4545	1.5166	-0.400487	-0.147111	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	N/A	0.364604
203.994	36.1744	0.919486	-0.372819	-0.0455112	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.65939	N/A
204.014	36.168	1.56887	-0.352696	-0.0274716	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	N/A	3.13437
